episode,mode,mode_episode,score,reward,epsilon
1,train,1,37,35,1.0
2,train,2,0,-2,0.99994
3,train,3,0,-2,0.99988
4,train,4,36,34,0.99982
5,train,5,8,6,0.99976
6,train,6,4,2,0.9997
7,train,7,7,5,0.999641
8,train,8,8,6,0.999581
9,train,9,5,3,0.999521
10,train,10,0,-2,0.999461
11,train,11,0,-2,0.999401
12,train,12,15,13,0.999341
13,train,13,0,-2,0.999281
14,train,14,0,-2,0.999221
15,train,15,2,0,0.999162
16,train,16,12,10,0.999102
17,train,17,2,0,0.999042
18,train,18,4,2,0.998982
19,train,19,0,-2,0.998922
20,train,20,25,23,0.998862
21,train,21,40,38,0.998802
22,train,22,1,-1,0.998743
23,train,23,35,33,0.998683
24,train,24,0,-2,0.998623
25,train,25,0,-2,0.998563
26,train,26,2,0,0.998503
27,train,27,32,30,0.998443
28,train,28,23,21,0.998384
29,train,29,10,8,0.998324
30,train,30,22,20,0.998264
31,train,31,64,62,0.998204
32,train,32,28,26,0.998144
33,train,33,8,6,0.998085
34,train,34,0,-2,0.998025
35,train,35,2,0,0.997965
36,train,36,7,5,0.997905
37,train,37,53,51,0.997845
38,train,38,1,-1,0.997786
39,train,39,18,16,0.997726
40,train,40,24,22,0.997666
41,train,41,1,-1,0.997606
42,train,42,10,8,0.997547
43,train,43,0,-2,0.997487
44,train,44,0,-2,0.997427
45,train,45,0,-2,0.997367
46,train,46,20,18,0.997307
47,train,47,3,1,0.997248
48,train,48,22,20,0.997188
49,train,49,5,3,0.997128
50,train,50,0,-2,0.997068
51,train,51,0,-2,0.997009
52,train,52,50,48,0.996949
53,train,53,6,4,0.996889
54,train,54,10,8,0.99683
55,train,55,22,20,0.99677
56,train,56,0,-2,0.99671
57,train,57,1,-1,0.99665
58,train,58,4,2,0.996591
59,train,59,12,10,0.996531
60,train,60,12,10,0.996471
61,train,61,5,3,0.996412
62,train,62,4,2,0.996352
63,train,63,3,1,0.996292
64,train,64,18,16,0.996232
65,train,65,4,2,0.996173
